###>>>>>>>>>>>>>>>>>>>> START ./from-testssl.tsv
[-] [0x00] => 0x00,0x00 : 
[+] [0xc037] => 0xC0,0x37 : ECDHE-PSK-AES128-CBC-SHA256
[+] [0xc038] => 0xC0,0x38 : ECDHE-PSK-AES256-CBC-SHA384
[+] [0xc039] => 0xC0,0x39 : ECDHE-PSK-NULL-SHA
[+] [0xc03A] => 0xC0,0x3A : ECDHE-PSK-NULL-SHA256
[+] [0xc03B] => 0xC0,0x3B : ECDHE-PSK-NULL-SHA384
[-] [0xc03C] => 0xC0,0x3C : 
[-] [0xc03D] => 0xC0,0x3D : 
[-] [0xc03E] => 0xC0,0x3E : 
[-] [0xc03F] => 0xC0,0x3F : 
[-] [0xc040] => 0xC0,0x40 : 
[-] [0xc041] => 0xC0,0x41 : 
[-] [0xc042] => 0xC0,0x42 : 
[-] [0xc043] => 0xC0,0x43 : 
[-] [0xc044] => 0xC0,0x44 : 
[-] [0xc045] => 0xC0,0x45 : 
[-] [0xc046] => 0xC0,0x46 : 
[-] [0xc047] => 0xC0,0x47 : 
[-] [0xc048] => 0xC0,0x48 : 
[-] [0xc049] => 0xC0,0x49 : 
[-] [0xc04A] => 0xC0,0x4A : 
[-] [0xc04B] => 0xC0,0x4B : 
[-] [0xc04C] => 0xC0,0x4C : 
[-] [0xc04D] => 0xC0,0x4D : 
[-] [0xc04E] => 0xC0,0x4E : 
[-] [0xc04F] => 0xC0,0x4F : 
[-] [0xc050] => 0xC0,0x50 : 
[-] [0xc051] => 0xC0,0x51 : 
[-] [0xc052] => 0xC0,0x52 : 
[-] [0xc053] => 0xC0,0x53 : 
[-] [0xc054] => 0xC0,0x54 : 
[-] [0xc055] => 0xC0,0x55 : 
[-] [0xc056] => 0xC0,0x56 : 
[-] [0xc057] => 0xC0,0x57 : 
[-] [0xc058] => 0xC0,0x58 : 
[-] [0xc059] => 0xC0,0x59 : 
[-] [0xc05A] => 0xC0,0x5A : 
[-] [0xc05B] => 0xC0,0x5B : 
[-] [0xc05C] => 0xC0,0x5C : 
[-] [0xc05D] => 0xC0,0x5D : 
[-] [0xc05E] => 0xC0,0x5E : 
[-] [0xc05F] => 0xC0,0x5F : 
[-] [0xc060] => 0xC0,0x60 : 
[-] [0xc061] => 0xC0,0x61 : 
[-] [0xc062] => 0xC0,0x62 : 
[-] [0xc063] => 0xC0,0x63 : 
[-] [0xc064] => 0xC0,0x64 : 
[-] [0xc065] => 0xC0,0x65 : 
[-] [0xc066] => 0xC0,0x66 : 
[-] [0xc067] => 0xC0,0x67 : 
[-] [0xc068] => 0xC0,0x68 : 
[-] [0xc069] => 0xC0,0x69 : 
[-] [0xc06A] => 0xC0,0x6A : 
[-] [0xc06B] => 0xC0,0x6B : 
[-] [0xc06C] => 0xC0,0x6C : 
[-] [0xc06D] => 0xC0,0x6D : 
[-] [0xc06E] => 0xC0,0x6E : 
[-] [0xc06F] => 0xC0,0x6F : 
[-] [0xc070] => 0xC0,0x70 : 
[-] [0xc071] => 0xC0,0x71 : 
[+] [0xc072] => 0xC0,0x72 : ECDHE-ECDSA-CAMELLIA128-SHA256
[+] [0xc073] => 0xC0,0x73 : ECDHE-ECDSA-CAMELLIA256-SHA384
[+] [0xc074] => 0xC0,0x74 : ECDH-ECDSA-CAMELLIA128-SHA256
[+] [0xc075] => 0xC0,0x75 : ECDH-ECDSA-CAMELLIA256-SHA384
[+] [0xc076] => 0xC0,0x76 : ECDHE-RSA-CAMELLIA128-SHA256
[+] [0xc077] => 0xC0,0x77 : ECDHE-RSA-CAMELLIA256-SHA384
